pygeostat_saved_data
3
Estimate
EstimationVariance
Back Transform
-0.455811 0.365505 -0.455811
-0.271295 0.272268 -0.271295
-0.093264 0.179831 -0.093264
0.059681 0.143735 0.059681
0.187186 0.132141 0.187186
0.285694 0.138842 0.285694
0.365311 0.154459 0.365311
0.433191 0.169926 0.433191
0.474987 0.178677 0.474987
0.514511 0.177380 0.514511
0.568251 0.165110 0.568251
0.588031 0.153641 0.588031
0.656256 0.148055 0.656256
0.724755 0.153399 0.724755
0.793380 0.164894 0.793380
0.828313 0.177038 0.828313
0.822088 0.178031 0.822088
0.798993 0.169237 0.798993
0.770915 0.153576 0.770915
0.735209 0.138382 0.735209
0.727911 0.130526 0.727911
0.716442 0.137166 0.716442
0.696427 0.152731 0.696427
0.671210 0.167190 0.671210
0.646262 0.173803 0.646262
0.604133 0.170652 0.604133
0.569017 0.159285 0.569017
0.531080 0.146834 0.531080
0.521192 0.141880 0.521192
0.475460 0.148597 0.475460
0.475215 0.162173 0.475215
0.480039 0.174742 0.480039
0.491718 0.179989 0.491718
0.506645 0.174863 0.506645
0.526568 0.162178 0.526568
0.542640 0.148328 0.542640
0.551849 0.142012 0.551849
0.608737 0.147340 0.608737
0.658959 0.160675 0.658959
0.680929 0.172546 0.680929
0.656563 0.176862 0.656563
0.601457 0.170701 0.601457
0.503600 0.157163 0.503600
0.380423 0.142029 0.380423
0.208680 0.135923 0.208680
0.016504 0.146379 0.016504
-0.197620 0.179946 -0.197620
-0.450256 0.242907 -0.450256
-0.689785 0.325927 -0.689785
-0.938212 0.470158 -0.938212
-0.478134 0.332193 -0.478134
-0.292254 0.234060 -0.292254
-0.109346 0.134451 -0.109346
0.050702 0.098098 0.050702
0.187655 0.086701 0.187655
0.301998 0.093690 0.301998
0.394309 0.108573 0.394309
0.477803 0.123462 0.477803
0.535421 0.130442 0.535421
0.588558 0.126461 0.588558
0.644968 0.113095 0.644968
0.669849 0.099093 0.669849
0.721863 0.092756 0.721863
0.780565 0.098956 0.780565
0.836599 0.112924 0.836599
0.825603 0.126201 0.825603
0.797300 0.129960 0.797300
0.777437 0.123009 0.777437
0.751735 0.107984 0.751735
0.727661 0.092607 0.727661
0.682237 0.085404 0.682237
0.646539 0.092104 0.646539
0.616985 0.107766 0.616985
0.588094 0.122296 0.588094
0.563784 0.128346 0.563784
0.529826 0.123835 0.529826
0.505967 0.110730 0.505967
0.484205 0.096654 0.484205
0.493812 0.090601 0.493812
0.472099 0.097395 0.472099
0.487097 0.111976 0.487097
0.508348 0.125427 0.508348
0.535185 0.131090 0.535185
0.565535 0.125618 0.565535
0.597290 0.112130 0.597290
0.623429 0.097219 0.623429
0.639554 0.090570 0.639554
0.694963 0.096836 0.694963
0.739698 0.111577 0.739698
0.752426 0.124862 0.752426
0.716643 0.130033 0.716643
0.647767 0.124131 0.647767
0.534637 0.110341 0.534637
0.396406 0.094816 0.396406
0.212360 0.088556 0.212360
0.009804 0.099809 0.009804
-0.211847 0.135140 -0.211847
-0.465210 0.197647 -0.465210
-0.703314 0.283179 -0.703314
-0.949507 0.441276 -0.949507
-0.504324 0.300007 -0.504324
-0.316564 0.197145 -0.316564
-0.128625 0.091572 -0.128625
0.038727 0.054287 0.038727
0.185747 0.042905 0.185747
0.309850 0.049688 0.309850
0.418537 0.065134 0.418537
0.515437 0.080048 0.515437
0.585844 0.086240 0.585844
0.649383 0.080868 0.649383
0.704860 0.066544 0.704860
0.731356 0.050942 0.731356
0.766206 0.044144 0.766206
0.813348 0.050896 0.813348
0.819153 0.066497 0.819153
0.797224 0.080800 0.797224
0.773584 0.086097 0.773584
0.757926 0.079973 0.757926
0.736923 0.064996 0.736923
0.685089 0.049115 0.685089
0.609359 0.042153 0.609359
0.562155 0.049006 0.562155
0.525601 0.065006 0.525601
0.494973 0.079835 0.494973
0.467415 0.085695 0.467415
0.448224 0.080254 0.448224
