pygeostat_saved_data
3
Estimate
EstimationVariance
Back Transform
-1.635532 0.999999 -1.635532
-1.763060 0.999997 -1.763060
-1.598173 0.999992 -1.598173
-1.500269 0.999974 -1.500269
-1.403494 0.999935 -1.403494
-1.307020 0.999846 -1.307020
-1.217612 0.999651 -1.217612
-1.134915 0.999238 -1.134915
-1.054081 0.998402 -1.054081
-0.976734 0.996782 -0.976734
-0.900555 0.993773 -0.900555
-0.820120 0.988423 -0.820120
-0.737514 0.979329 -0.737514
-0.649654 0.964554 -0.649654
-0.557033 0.941639 -0.557033
-0.459451 0.907755 -0.459451
-0.358692 0.860054 -0.358692
-0.253125 0.796252 -0.253125
-0.147818 0.715409 -0.147818
-0.041915 0.618653 -0.041915
0.058319 0.509823 0.058319
0.156339 0.395455 0.156339
0.239712 0.284322 0.239712
0.312307 0.185911 0.312307
0.368007 0.108650 0.368007
0.424595 0.055135 0.424595
0.422420 0.033639 0.422420
0.406369 0.032236 0.406369
0.366589 0.043409 0.366589
0.306354 0.055395 0.306354
0.232020 0.062239 0.232020
0.142580 0.060784 0.142580
0.058485 0.052478 0.058485
-0.029385 0.042072 -0.029385
-0.112930 0.035070 -0.112930
-0.188836 0.035070 -0.188836
-0.256228 0.042074 -0.256228
-0.321219 0.047119 -0.321219
-0.368427 0.051910 -0.368427
-0.405257 0.051444 -0.405257
-0.432892 0.045710 -0.432892
-0.431452 0.039983 -0.431452
-0.460009 0.032668 -0.460009
-0.483333 0.032660 -0.483333
-0.500216 0.039966 -0.500216
-0.547421 0.045709 -0.547421
-0.559269 0.051292 -0.559269
-0.561463 0.051750 -0.561463
-0.560569 0.046980 -0.560569
-0.546024 0.039907 -0.546024
-0.517881 0.035160 -0.517881
-0.478627 0.035452 -0.478627
-0.448990 0.041206 -0.448990
-0.406670 0.049470 -0.406670
-0.358214 0.055617 -0.358214
-0.300066 0.056874 -0.300066
-0.246203 0.053005 -0.246203
-0.173468 0.046815 -0.173468
-0.092840 0.042919 -0.092840
-0.009726 0.043757 -0.009726
0.065725 0.050019 0.065725
0.141253 0.059097 0.141253
0.212231 0.066488 0.212231
0.289633 0.068981 0.289633
0.365237 0.066468 0.365237
0.435875 0.061229 0.435875
0.502123 0.057718 0.502123
0.543607 0.057674 0.543607
0.566508 0.061251 0.566508
0.585800 0.066680 0.585800
0.570032 0.069816 0.570032
0.542357 0.067975 0.542357
0.517399 0.061419 0.517399
0.484536 0.052940 0.484536
0.448291 0.047072 0.448291
0.389798 0.046165 0.389798
0.301261 0.049543 0.301261
0.219013 0.055236 0.219013
0.130682 0.058591 0.130682
0.039470 0.056979 0.039470
-0.050224 0.050650 -0.050224
-0.160572 0.042526 -0.160572
-0.259438 0.036931 -0.259438
-0.380277 0.036673 -0.380277
-0.496300 0.043485 -0.496300
-0.612310 0.053674 -0.612310
-0.727857 0.061727 -0.727857
-0.848970 0.062917 -0.848970
-0.977708 0.055875 -0.977708
-1.100904 0.042578 -1.100904
-1.457294 0.032600 -1.457294
-1.721611 0.034148 -1.721611
-1.831644 0.055866 -1.831644
-1.353600 0.109412 -1.353600
-1.442294 0.186728 -1.442294
-1.806756 0.285141 -1.806756
-1.513275 0.396185 -1.513275
-1.864923 1.000000 -1.864923
-1.757665 1.000000 -1.757665
-1.737461 1.000000 -1.737461
-1.992586 0.999999 -1.992586
-1.586800 0.999997 -1.586800
-1.491422 0.999992 -1.491422
-1.396946 0.999973 -1.396946
-1.298191 0.999934 -1.298191
-1.210012 0.999844 -1.210012
-1.126556 0.999647 -1.126556
-1.047260 0.999229 -1.047260
-0.970156 0.998384 -0.970156
-0.894057 0.996745 -0.894057
-0.817560 0.993701 -0.817560
-0.737760 0.988291 -0.737760
-0.654724 0.979091 -0.654724
-0.566470 0.964147 -0.566470
-0.474540 0.940971 -0.474540
-0.379071 0.906701 -0.379071
